"","date","RUA.Adjusted"
"157",2020-08-14,1971.33996582031
"158",2020-08-17,1979.63000488281
"159",2020-08-18,1982.48999023438
"160",2020-08-19,1973.89001464844
"161",2020-08-20,1980.2900390625
"162",2020-08-21,1984.98999023438
"163",2020-08-24,2003.67004394531
"164",2020-08-25,2010.61999511719
"165",2020-08-26,2029.42004394531
"166",2020-08-27,2033.83996582031
"167",2020-08-28,2047.81005859375
"168",2020-08-31,2045.01000976562
"169",2020-09-01,2062.43994140625
"170",2020-09-02,2089.830078125
"171",2020-09-03,2014.84997558594
"172",2020-09-04,1997.88000488281
"173",2020-09-08,1940.98999023438
"174",2020-09-09,1980.15002441406
"175",2020-09-10,1947.5400390625
"176",2020-09-11,1946.97998046875
"177",2020-09-14,1977.21997070312
"178",2020-09-15,1988.41003417969
"179",2020-09-16,1981.53002929688
"180",2020-09-17,1964.59997558594
"181",2020-09-18,1945.71997070312
"182",2020-09-21,1922.2900390625
"183",2020-09-22,1941.2099609375
"184",2020-09-23,1893.68005371094
"185",2020-09-24,1897.83996582031
"186",2020-09-25,1929.69995117188
"187",2020-09-28,1962.16003417969
"188",2020-09-29,1953.05004882812
"189",2020-09-30,1968.08996582031
"190",2020-10-01,1982.83996582031
"191",2020-10-02,1966.36999511719
"192",2020-10-05,2003.31994628906
"193",2020-10-06,1978.30004882812
"194",2020-10-07,2013.43994140625
"195",2020-10-08,2029.89001464844
"196",2020-10-09,2047.35998535156
"197",2020-10-12,2077.67993164062
"198",2020-10-13,2066.5400390625
"199",2020-10-14,2053.25
"200",2020-10-15,2051.98999023438
"201",2020-10-16,2051.06005859375
"202",2020-10-19,2019.51000976562
"203",2020-10-20,2027.26000976562
"204",2020-10-21,2020.35998535156
"205",2020-10-22,2033.07995605469
"206",2020-10-23,2040.89001464844
"207",2020-10-26,2002.73999023438
"208",2020-10-27,1995.96997070312
"209",2020-10-28,1928.01000976562
"210",2020-10-29,1950.13000488281
"211",2020-10-30,1923.69995117188
"212",2020-11-02,1947.63000488281
"213",2020-11-03,1984.78002929688
"214",2020-11-04,2026.55004882812
"215",2020-11-05,2068.4599609375
"216",2020-11-06,2065.669921875
"217",2020-11-09,2090.36010742188
"218",2020-11-10,2088.8798828125
"219",2020-11-11,2105.14990234375
"220",2020-11-12,2084.02001953125
"221",2020-11-13,2112.3798828125
"222",2020-11-16,2138.51000976562
"223",2020-11-17,2133.10009765625
"224",2020-11-18,2111.05004882812
"225",2020-11-19,2122.3701171875
"226",2020-11-20,2110.89990234375
"227",2020-11-23,2127.19995117188
"228",2020-11-24,2160.580078125
"229",2020-11-25,2158.96997070312
"230",2020-11-27,2166.60009765625
"231",2020-11-30,2154.2900390625
"232",2020-12-01,2176.67993164062
"233",2020-12-02,2179.1298828125
"234",2020-12-03,2181.57006835938
"235",2020-12-04,2204.080078125
"236",2020-12-07,2202.14990234375
"237",2020-12-08,2210.93994140625
"238",2020-12-09,2190.52001953125
"239",2020-12-10,2193.51000976562
"240",2020-12-11,2189.51000976562
"241",2020-12-14,2182.830078125
"242",2020-12-15,2212.48999023438
"243",2020-12-16,2215.17993164062
"244",2020-12-17,2232.169921875
"245",2020-12-18,2227
"246",2020-12-21,2220.10009765625
"247",2020-12-22,2220.3701171875
"248",2020-12-23,2222.64990234375
"249",2020-12-24,2228.6298828125
"250",2020-12-28,2240.85009765625
"251",2020-12-29,2232.01000976562
"252",2020-12-30,2237.76000976562
"253",2020-12-31,2248.43994140625
"254",2021-01-04,2215.419921875
"255",2021-01-05,2233.69995117188
"256",2021-01-06,2252.35009765625
"257",2021-01-07,2288.43994140625
"258",2021-01-08,2299.30004882812
"259",2021-01-11,2286.52001953125
"260",2021-01-12,2293.01000976562
"261",2021-01-13,2295.13989257812
"262",2021-01-14,2292.02001953125
"263",2021-01-15,2273.8798828125
"264",2021-01-19,2293.23999023438
"265",2021-01-20,2322.8701171875
"266",2021-01-21,2320.77001953125
"267",2021-01-22,2317.26000976562
"268",2021-01-25,2323.2099609375
"269",2021-01-26,2315.7099609375
"270",2021-01-27,2256.1298828125
"271",2021-01-28,2278.68994140625
"272",2021-01-29,2236.3701171875
"273",2021-02-01,2274.5400390625
"274",2021-02-02,2307.580078125
"275",2021-02-03,2309.93994140625
"276",2021-02-04,2337.5
"277",2021-02-05,2350.169921875
"278",2021-02-08,2371.84008789062
"279",2021-02-09,2371.69995117188
"280",2021-02-10,2370.669921875
"281",2021-02-11,2375.94995117188
"282",2021-02-12,2387.3701171875
"283",2021-02-16,2383.71997070312
"284",2021-02-17,2379.56005859375
"285",2021-02-18,2366.09008789062
"286",2021-02-19,2369.13989257812
"287",2021-02-22,2347.06005859375
"288",2021-02-23,2346.84008789062
"289",2021-02-24,2373.830078125
"290",2021-02-25,2311.17993164062
"291",2021-02-26,2303.21997070312
"292",2021-03-01,2360.90991210938
"293",2021-03-02,2338.26000976562
"294",2021-03-03,2304.68994140625
"295",2021-03-04,2268.02001953125
"296",2021-03-05,2310.96997070312
"297",2021-03-08,2298.76000976562
"298",2021-03-09,2334.85009765625
"299",2021-03-10,2350.46997070312
"300",2021-03-11,2380.73999023438
"301",2021-03-12,2384.01000976562
"302",2021-03-15,2400.89990234375
"303",2021-03-16,2392.11010742188
"304",2021-03-17,2399.7099609375
"305",2021-03-18,2358.47998046875
"306",2021-03-19,2360.35009765625
"307",2021-03-22,2373.419921875
"308",2021-03-23,2347.97998046875
"309",2021-03-24,2328.9599609375
"310",2021-03-25,2344.580078125
"311",2021-03-26,2383.30004882812
"312",2021-03-29,2373.02001953125
"313",2021-03-30,2371.10009765625
"314",2021-03-31,2382.73999023438
"315",2021-04-01,2413.169921875
"316",2021-04-05,2443.39990234375
"317",2021-04-06,2443.17993164062
"318",2021-04-07,2441.8798828125
"319",2021-04-08,2454.69995117188
"320",2021-04-09,2471.10009765625
"321",2021-04-12,2470.97998046875
"322",2021-04-13,2480.080078125
"323",2021-04-14,2472.03002929688
"324",2021-04-15,2499.02001953125
"325",2021-04-16,2506.65991210938
"326",2021-04-19,2490.6201171875
"327",2021-04-20,2470.26000976562
"328",2021-04-21,2496.25
"329",2021-04-22,2476.56005859375
"330",2021-04-23,2505.7900390625
"331",2021-04-26,2514.1298828125
"332",2021-04-27,2513.669921875
"333",2021-04-28,2511.32006835938
"334",2021-04-29,2523.30004882812
"335",2021-04-30,2503.56005859375
"336",2021-05-03,2509.05004882812
"337",2021-05-04,2489.30004882812
"338",2021-05-05,2488.3798828125
"339",2021-05-06,2503.36010742188
"340",2021-05-07,2523.92993164062
"341",2021-05-10,2493.5400390625
"342",2021-05-11,2474.98999023438
"343",2021-05-12,2418.0400390625
"344",2021-05-13,2446.39990234375
"345",2021-05-14,2486.56005859375
"346",2021-05-17,2480.28002929688
"347",2021-05-18,2461.2099609375
"348",2021-05-19,2452.88989257812
"349",2021-05-20,2479.419921875
"350",2021-05-21,2478.23999023438
"351",2021-05-24,2501.8701171875
"352",2021-05-25,2495.11010742188
"353",2021-05-26,2504.52001953125
"354",2021-05-27,2509.59008789062
"355",2021-05-28,2511.52001953125
"356",2021-06-01,2512.80004882812
"357",2021-06-02,2515.52001953125
"358",2021-06-03,2503.72998046875
"359",2021-06-04,2525.13989257812
"360",2021-06-07,2527.77001953125
"361",2021-06-08,2531.46997070312
"362",2021-06-09,2525.11010742188
"363",2021-06-10,2535.75
"364",2021-06-11,2543.669921875
"365",2021-06-14,2546.78002929688
"366",2021-06-15,2539.86010742188
"367",2021-06-16,2527.36010742188
"368",2021-06-17,NA
"369",2021-06-18,2492.36010742188
"370",2021-06-21,2527.90991210938
"371",2021-06-22,2541.5
"372",2021-06-23,2540.1201171875
"373",2021-06-24,2556.84008789062
"374",2021-06-25,2565.92993164062
"375",2021-06-28,2569.8701171875
"376",2021-06-29,2569.419921875
"377",2021-06-30,2570.65991210938
"378",2021-07-01,2583.19995117188
"379",2021-07-02,2597.75
"380",2021-07-06,2591.169921875
"381",2021-07-07,2595.10009765625
"382",2021-07-08,2572.35009765625
"383",2021-07-09,2604.48999023438
"384",2021-07-12,2611.27001953125
"385",2021-07-13,2596.580078125
"386",2021-07-14,2592.72998046875
"387",2021-07-15,2583.88989257812
"388",2021-07-16,2564.77001953125
"389",2021-07-19,2526.57006835938
"390",2021-07-20,2570.169921875
"391",2021-07-21,2593.84008789062
"392",2021-07-22,2595.330078125
"393",2021-07-23,2620.6201171875
"394",2021-07-26,2625.64990234375
"395",2021-07-27,2611.02001953125
"396",2021-07-28,2615.8798828125
"397",2021-07-29,2626.82006835938
"398",2021-07-30,2611.830078125
"399",2021-08-02,NA
"400",2021-08-03,2626.22998046875
"401",2021-08-04,2613.78002929688
"402",2021-08-05,2632.5400390625
"403",2021-08-06,2635.330078125
"404",2021-08-09,2632.81005859375
"405",2021-08-10,2634.080078125
"406",2021-08-11,2640.1201171875
"407",2021-08-12,2647.0400390625
"408",2021-08-13,2648.30004882812
"409",2021-08-16,2649.94995117188
"410",2021-08-17,2629.919921875
"411",2021-08-18,2603.06005859375
"412",2021-08-19,2601.55004882812
"413",2021-08-20,2625.09008789062
"414",2021-08-23,2650.6201171875
"415",2021-08-24,2659.30004882812
"416",2021-08-25,2666.47998046875
"417",2021-08-26,2649.81005859375
"418",2021-08-27,2677.89990234375
"419",2021-08-30,2686.90991210938
"420",2021-08-31,2682.85009765625
"421",2021-09-01,2686.19995117188
"422",2021-09-02,2695.40991210938
"423",2021-09-03,2694.19995117188
"424",2021-09-07,2682.73999023438
"425",2021-09-08,2675.97998046875
"426",2021-09-09,2665.68994140625
"427",2021-09-10,2644.669921875
"428",2021-09-13,2650.47998046875
"429",2021-09-14,2633.52001953125
